Cycle,Time,Traditional Scenario,Num Autonomous Bikes,Autonomous Bikes Battery Life,AB PickUp Speed,Num Cars,Agent,Event,Mode,Message,Start Time,End Time,Duration (min),Distance (m)
2064,2022-10-01 05:44:00,true,110,50000.0,3.0555555555555554,40,package18,END: generated,0,nil,00:00:00,05:44:00,344.0,0.0
2065,2022-10-01 05:44:10,true,110,50000.0,3.0555555555555554,40,package18,START: requestingDeliveryMode,nil
2065,2022-10-01 05:44:10,true,110,50000.0,3.0555555555555554,40,package18,END: requestingDeliveryMode,0,nil,05:44:10,05:44:10,0.0,0.0
2066,2022-10-01 05:44:20,true,110,50000.0,3.0555555555555554,40,package18,START: unserved,nil
2070,2022-10-01 05:45:00,true,110,50000.0,3.0555555555555554,40,package4008,END: generated,0,nil,00:00:00,05:45:00,345.0,0.0
2071,2022-10-01 05:45:10,true,110,50000.0,3.0555555555555554,40,package4008,START: requestingDeliveryMode,nil
2071,2022-10-01 05:45:10,true,110,50000.0,3.0555555555555554,40,package4008,END: requestingDeliveryMode,0,nil,05:45:10,05:45:10,0.0,0.0
2072,2022-10-01 05:45:20,true,110,50000.0,3.0555555555555554,40,package4008,START: unserved,nil
2100,2022-10-01 05:50:00,true,110,50000.0,3.0555555555555554,40,package7998,END: generated,0,nil,00:00:00,05:50:00,350.0,0.0
2101,2022-10-01 05:50:10,true,110,50000.0,3.0555555555555554,40,package7998,START: requestingDeliveryMode,nil
2101,2022-10-01 05:50:10,true,110,50000.0,3.0555555555555554,40,package7998,END: requestingDeliveryMode,0,nil,05:50:10,05:50:10,0.0,0.0
2102,2022-10-01 05:50:20,true,110,50000.0,3.0555555555555554,40,package7998,START: unserved,nil
2106,2022-10-01 05:51:00,true,110,50000.0,3.0555555555555554,40,package21,END: generated,0,nil,00:00:00,05:51:00,351.0,0.0
2106,2022-10-01 05:51:00,true,110,50000.0,3.0555555555555554,40,package4011,END: generated,0,nil,00:00:00,05:51:00,351.0,0.0
2107,2022-10-01 05:51:10,true,110,50000.0,3.0555555555555554,40,package21,START: requestingDeliveryMode,nil
2107,2022-10-01 05:51:10,true,110,50000.0,3.0555555555555554,40,package21,END: requestingDeliveryMode,0,nil,05:51:10,05:51:10,0.0,0.0
2107,2022-10-01 05:51:10,true,110,50000.0,3.0555555555555554,40,package4011,START: requestingDeliveryMode,nil
2107,2022-10-01 05:51:10,true,110,50000.0,3.0555555555555554,40,package4011,END: requestingDeliveryMode,0,nil,05:51:10,05:51:10,0.0,0.0
2108,2022-10-01 05:51:20,true,110,50000.0,3.0555555555555554,40,package21,START: firstmile,nil
2108,2022-10-01 05:51:20,true,110,50000.0,3.0555555555555554,40,package4011,START: firstmile,nil
2110,2022-10-01 05:51:40,true,110,50000.0,3.0555555555555554,40,package21,END: firstmile,0,nil,05:51:20,05:51:40,0.3333333333333333,27.611873845392417
2110,2022-10-01 05:51:40,true,110,50000.0,3.0555555555555554,40,package4011,END: firstmile,0,nil,05:51:20,05:51:40,0.3333333333333333,36.42017793330908
