Cycle,Time,Traditional Scenario,Num Autonomous Bikes,Autonomous Bikes Battery Life,AB PickUp Speed,Num Cars,Agent,Event,Mode,Message,Start Time,End Time,Duration (min),Distance (m)
2299,2022-10-01 06:23:10,true,40,package4029,START: requestingDeliveryMode,nil
2299,2022-10-01 06:23:10,true,40,package4029,END: requestingDeliveryMode,0,nil,06:23:10,06:23:10,0.0,0.0
2299,2022-10-01 06:23:10,true,40,package8019,START: requestingDeliveryMode,nil
2299,2022-10-01 06:23:10,true,40,package8019,END: requestingDeliveryMode,0,nil,06:23:10,06:23:10,0.0,0.0
2300,2022-10-01 06:23:20,true,40,package42,START: unserved,nil
2300,2022-10-01 06:23:20,true,40,package4029,START: unserved,nil
2300,2022-10-01 06:23:20,true,40,package8019,START: unserved,nil
2310,2022-10-01 06:25:00,true,40,package45,END: generated,0,nil,00:00:00,06:25:00,385.0,0.0
2310,2022-10-01 06:25:00,true,40,package4032,END: generated,0,nil,00:00:00,06:25:00,385.0,0.0
2310,2022-10-01 06:25:00,true,40,package8022,END: generated,0,nil,00:00:00,06:25:00,385.0,0.0
2311,2022-10-01 06:25:10,true,40,package45,START: requestingDeliveryMode,nil
2311,2022-10-01 06:25:10,true,40,package45,END: requestingDeliveryMode,0,nil,06:25:10,06:25:10,0.0,0.0
2311,2022-10-01 06:25:10,true,40,package4032,START: requestingDeliveryMode,nil
2311,2022-10-01 06:25:10,true,40,package4032,END: requestingDeliveryMode,0,nil,06:25:10,06:25:10,0.0,0.0
2311,2022-10-01 06:25:10,true,40,package8022,START: requestingDeliveryMode,nil
2311,2022-10-01 06:25:10,true,40,package8022,END: requestingDeliveryMode,0,nil,06:25:10,06:25:10,0.0,0.0
2312,2022-10-01 06:25:20,true,40,package45,START: unserved,nil
2312,2022-10-01 06:25:20,true,40,package4032,START: unserved,nil
2312,2022-10-01 06:25:20,true,40,package8022,START: unserved,nil
2322,2022-10-01 06:27:00,true,40,package4035,END: generated,0,nil,00:00:00,06:27:00,387.0,0.0
2323,2022-10-01 06:27:10,true,40,package4035,START: requestingDeliveryMode,nil
2323,2022-10-01 06:27:10,true,40,package4035,END: requestingDeliveryMode,0,nil,06:27:10,06:27:10,0.0,0.0
2324,2022-10-01 06:27:20,true,40,package4035,START: unserved,nil
2328,2022-10-01 06:28:00,true,40,package8025,END: generated,0,nil,00:00:00,06:28:00,388.0,0.0
2329,2022-10-01 06:28:10,true,40,package8025,START: requestingDeliveryMode,nil
2329,2022-10-01 06:28:10,true,40,package8025,END: requestingDeliveryMode,0,nil,06:28:10,06:28:10,0.0,0.0
2330,2022-10-01 06:28:20,true,40,package8025,START: unserved,nil
2334,2022-10-01 06:29:00,true,40,package48,END: generated,0,nil,00:00:00,06:29:00,389.0,0.0
2335,2022-10-01 06:29:10,true,40,package48,START: requestingDeliveryMode,nil
2335,2022-10-01 06:29:10,true,40,package48,END: requestingDeliveryMode,0,nil,06:29:10,06:29:10,0.0,0.0
2336,2022-10-01 06:29:20,true,40,package48,START: unserved,nil
2340,2022-10-01 06:30:00,true,40,package4038,END: generated,0,nil,00:00:00,06:30:00,390.0,0.0
2341,2022-10-01 06:30:10,true,40,package4038,START: requestingDeliveryMode,nil
2341,2022-10-01 06:30:10,true,40,package4038,END: requestingDeliveryMode,0,nil,06:30:10,06:30:10,0.0,0.0
2342,2022-10-01 06:30:20,true,40,package4038,START: unserved,nil
2352,2022-10-01 06:32:00,true,40,package8028,END: generated,0,nil,00:00:00,06:32:00,392.0,0.0
2353,2022-10-01 06:32:10,true,40,package8028,START: requestingDeliveryMode,nil
2353,2022-10-01 06:32:10,true,40,package8028,END: requestingDeliveryMode,0,nil,06:32:10,06:32:10,0.0,0.0
2354,2022-10-01 06:32:20,true,40,package8028,START: unserved,nil
2358,2022-10-01 06:33:00,true,40,package51,END: generated,0,nil,00:00:00,06:33:00,393.0,0.0
2359,2022-10-01 06:33:10,true,40,package51,START: requestingDeliveryMode,nil
2359,2022-10-01 06:33:10,true,40,package51,END: requestingDeliveryMode,0,nil,06:33:10,06:33:10,0.0,0.0
2360,2022-10-01 06:33:20,true,40,package51,START: unserved,nil
2364,2022-10-01 06:34:00,true,40,package4041,END: generated,0,nil,00:00:00,06:34:00,394.0,0.0
2365,2022-10-01 06:34:10,true,40,package4041,START: requestingDeliveryMode,nil
2365,2022-10-01 06:34:10,true,40,package4041,END: requestingDeliveryMode,0,nil,06:34:10,06:34:10,0.0,0.0
2366,2022-10-01 06:34:20,true,40,package4041,START: unserved,nil
2370,2022-10-01 06:35:00,true,40,package8031,END: generated,0,nil,00:00:00,06:35:00,395.0,0.0
2371,2022-10-01 06:35:10,true,40,package8031,START: requestingDeliveryMode,nil
2371,2022-10-01 06:35:10,true,40,package8031,END: requestingDeliveryMode,0,nil,06:35:10,06:35:10,0.0,0.0
2372,2022-10-01 06:35:20,true,40,package8031,START: unserved,nil
2382,2022-10-01 06:37:00,true,40,package54,END: generated,0,nil,00:00:00,06:37:00,397.0,0.0
2383,2022-10-01 06:37:10,true,40,package54,START: requestingDeliveryMode,nil
2383,2022-10-01 06:37:10,true,40,package54,END: requestingDeliveryMode,0,nil,06:37:10,06:37:10,0.0,0.0
2384,2022-10-01 06:37:20,true,40,package54,START: unserved,nil
2400,2022-10-01 06:40:00,true,40,package4044,END: generated,0,nil,00:00:00,06:40:00,400.0,0.0
2401,2022-10-01 06:40:10,true,40,package4044,START: requestingDeliveryMode,nil
2401,2022-10-01 06:40:10,true,40,package4044,END: requestingDeliveryMode,0,nil,06:40:10,06:40:10,0.0,0.0
2402,2022-10-01 06:40:20,true,40,package4044,START: unserved,nil
2412,2022-10-01 06:42:00,true,40,package57,END: generated,0,nil,00:00:00,06:42:00,402.0,0.0
2412,2022-10-01 06:42:00,true,40,package8034,END: generated,0,nil,00:00:00,06:42:00,402.0,0.0
2413,2022-10-01 06:42:10,true,40,package57,START: requestingDeliveryMode,nil
2413,2022-10-01 06:42:10,true,40,package57,END: requestingDeliveryMode,0,nil,06:42:10,06:42:10,0.0,0.0
2413,2022-10-01 06:42:10,true,40,package8034,START: requestingDeliveryMode,nil
2413,2022-10-01 06:42:10,true,40,package8034,END: requestingDeliveryMode,0,nil,06:42:10,06:42:10,0.0,0.0
2414,2022-10-01 06:42:20,true,40,package57,START: unserved,nil
2414,2022-10-01 06:42:20,true,40,package8034,START: unserved,nil
2418,2022-10-01 06:43:00,true,40,package4047,END: generated,0,nil,00:00:00,06:43:00,403.0,0.0
2419,2022-10-01 06:43:10,true,40,package4047,START: requestingDeliveryMode,nil
2419,2022-10-01 06:43:10,true,40,package4047,END: requestingDeliveryMode,0,nil,06:43:10,06:43:10,0.0,0.0
2420,2022-10-01 06:43:20,true,40,package4047,START: unserved,nil
2424,2022-10-01 06:44:00,true,40,package8037,END: generated,0,nil,00:00:00,06:44:00,404.0,0.0
2425,2022-10-01 06:44:10,true,40,package8037,START: requestingDeliveryMode,nil
2425,2022-10-01 06:44:10,true,40,package8037,END: requestingDeliveryMode,0,nil,06:44:10,06:44:10,0.0,0.0
2426,2022-10-01 06:44:20,true,40,package8037,START: unserved,nil
2442,2022-10-01 06:47:00,true,40,package60,END: generated,0,nil,00:00:00,06:47:00,407.0,0.0
2443,2022-10-01 06:47:10,true,40,package60,START: requestingDeliveryMode,nil
2443,2022-10-01 06:47:10,true,40,package60,END: requestingDeliveryMode,0,nil,06:47:10,06:47:10,0.0,0.0
2444,2022-10-01 06:47:20,true,40,package60,START: unserved,nil
2448,2022-10-01 06:48:00,true,40,package4050,END: generated,0,nil,00:00:00,06:48:00,408.0,0.0
2449,2022-10-01 06:48:10,true,40,package4050,START: requestingDeliveryMode,nil
2449,2022-10-01 06:48:10,true,40,package4050,END: requestingDeliveryMode,0,nil,06:48:10,06:48:10,0.0,0.0
2450,2022-10-01 06:48:20,true,40,package4050,START: unserved,nil
2454,2022-10-01 06:49:00,true,40,package8040,END: generated,0,nil,00:00:00,06:49:00,409.0,0.0
2455,2022-10-01 06:49:10,true,40,package8040,START: requestingDeliveryMode,nil
2455,2022-10-01 06:49:10,true,40,package8040,END: requestingDeliveryMode,0,nil,06:49:10,06:49:10,0.0,0.0
2456,2022-10-01 06:49:20,true,40,package8040,START: unserved,nil
2460,2022-10-01 06:50:00,true,40,package63,END: generated,0,nil,00:00:00,06:50:00,410.0,0.0
2461,2022-10-01 06:50:10,true,40,package63,START: requestingDeliveryMode,nil
2461,2022-10-01 06:50:10,true,40,package63,END: requestingDeliveryMode,0,nil,06:50:10,06:50:10,0.0,0.0
2462,2022-10-01 06:50:20,true,40,package63,START: unserved,nil
2472,2022-10-01 06:52:00,true,40,package4053,END: generated,0,nil,00:00:00,06:52:00,412.0,0.0
2472,2022-10-01 06:52:00,true,40,package8043,END: generated,0,nil,00:00:00,06:52:00,412.0,0.0
2473,2022-10-01 06:52:10,true,40,package4053,START: requestingDeliveryMode,nil
2473,2022-10-01 06:52:10,true,40,package4053,END: requestingDeliveryMode,0,nil,06:52:10,06:52:10,0.0,0.0
2473,2022-10-01 06:52:10,true,40,package8043,START: requestingDeliveryMode,nil
2473,2022-10-01 06:52:10,true,40,package8043,END: requestingDeliveryMode,0,nil,06:52:10,06:52:10,0.0,0.0
2474,2022-10-01 06:52:20,true,40,package4053,START: unserved,nil
2474,2022-10-01 06:52:20,true,40,package8043,START: unserved,nil
2478,2022-10-01 06:53:00,true,40,package66,END: generated,0,nil,00:00:00,06:53:00,413.0,0.0
2479,2022-10-01 06:53:10,true,40,package66,START: requestingDeliveryMode,nil
2479,2022-10-01 06:53:10,true,40,package66,END: requestingDeliveryMode,0,nil,06:53:10,06:53:10,0.0,0.0
2480,2022-10-01 06:53:20,true,40,package66,START: unserved,nil
2484,2022-10-01 06:54:00,true,40,package4056,END: generated,0,nil,00:00:00,06:54:00,414.0,0.0
2485,2022-10-01 06:54:10,true,40,package4056,START: requestingDeliveryMode,nil
2485,2022-10-01 06:54:10,true,40,package4056,END: requestingDeliveryMode,0,nil,06:54:10,06:54:10,0.0,0.0
2486,2022-10-01 06:54:20,true,40,package4056,START: unserved,nil
2490,2022-10-01 06:55:00,true,40,package8046,END: generated,0,nil,00:00:00,06:55:00,415.0,0.0
2491,2022-10-01 06:55:10,true,40,package8046,START: requestingDeliveryMode,nil
2491,2022-10-01 06:55:10,true,40,package8046,END: requestingDeliveryMode,0,nil,06:55:10,06:55:10,0.0,0.0
2492,2022-10-01 06:55:20,true,40,package8046,START: unserved,nil
2496,2022-10-01 06:56:00,true,40,package69,END: generated,0,nil,00:00:00,06:56:00,416.0,0.0
2497,2022-10-01 06:56:10,true,40,package69,START: requestingDeliveryMode,nil
2497,2022-10-01 06:56:10,true,40,package69,END: requestingDeliveryMode,0,nil,06:56:10,06:56:10,0.0,0.0
2498,2022-10-01 06:56:20,true,40,package69,START: unserved,nil
2502,2022-10-01 06:57:00,true,40,package4059,END: generated,0,nil,00:00:00,06:57:00,417.0,0.0
2502,2022-10-01 06:57:00,true,40,package8049,END: generated,0,nil,00:00:00,06:57:00,417.0,0.0
2503,2022-10-01 06:57:10,true,40,package4059,START: requestingDeliveryMode,nil
2503,2022-10-01 06:57:10,true,40,package4059,END: requestingDeliveryMode,0,nil,06:57:10,06:57:10,0.0,0.0
2503,2022-10-01 06:57:10,true,40,package8049,START: requestingDeliveryMode,nil
2503,2022-10-01 06:57:10,true,40,package8049,END: requestingDeliveryMode,0,nil,06:57:10,06:57:10,0.0,0.0
2504,2022-10-01 06:57:20,true,40,package4059,START: unserved,nil
2504,2022-10-01 06:57:20,true,40,package8049,START: unserved,nil
2508,2022-10-01 06:58:00,true,40,package72,END: generated,0,nil,00:00:00,06:58:00,418.0,0.0
2509,2022-10-01 06:58:10,true,40,package72,START: requestingDeliveryMode,nil
