Cycle,Time,Traditional Scenario,Num Autonomous Bikes,Autonomous Bikes Battery Life,AB PickUp Speed,Num Cars,Agent,Trip Served,Mode,Wait Time (min),Departure Time,Arrival Time,Duration (min),Origin [lat],Origin [lon],Destination [lat],Destination [lon],Distance (m)
2431,2022-10-01 06:45:10,false,110,50000.0,3.0555555555555554,40,package8019,true,1,2.6666666666666665,06:25:50,06:45:10,19.333333333333332,-71.118965,42.373370999999885,-71.15363739122618,42.37867488624446,3020.6229331498103
2435,2022-10-01 06:45:50,false,110,50000.0,3.0555555555555554,40,package4038,true,1,5.166666666666667,06:35:20,06:45:50,10.5,-71.06882399999998,42.36985899999988,-71.07410300000002,42.37171299999988,605.7544838769245
2440,2022-10-01 06:46:40,false,110,50000.0,3.0555555555555554,40,package4047,true,1,1.0,06:44:10,06:46:40,2.5,-71.11647099999998,42.37132899999988,-71.11631324605207,42.37241865360796,233.31326418149433
2446,2022-10-01 06:47:40,false,110,50000.0,3.0555555555555554,40,package54,true,1,4.666666666666667,06:41:50,06:47:40,5.833333333333333,-71.07982,42.372245999999876,-71.07877301616251,42.372997396889744,121.2870359177831
2470,2022-10-01 06:51:40,false,110,50000.0,3.0555555555555554,40,package4050,true,1,1.8333333333333333,06:50:00,06:51:40,1.6666666666666667,-71.1114,42.36962799999989,-71.1103950851475,42.3702466054444,218.8554974152061
2482,2022-10-01 06:53:40,false,110,50000.0,3.0555555555555554,40,package48,true,1,2.3333333333333335,06:31:30,06:53:40,22.166666666666668,-71.103734,42.365674999999875,-71.1207875750093,42.39253323977127,3380.7925728361633
2485,2022-10-01 06:54:10,false,110,50000.0,3.0555555555555554,40,package60,true,1,3.8333333333333335,06:51:00,06:54:10,3.1666666666666665,-71.149096,42.37545099999986,-71.15295963572841,42.376343811723736,410.34532825611274
2485,2022-10-01 06:54:10,false,110,50000.0,3.0555555555555554,40,package63,true,1,2.1666666666666665,06:52:20,06:54:10,1.8333333333333333,-71.09047,42.36164899999987,-71.090546,42.36188899999986,230.00758246745866
2486,2022-10-01 06:54:20,false,110,50000.0,3.0555555555555554,40,package51,true,1,2.1666666666666665,06:35:20,06:54:20,19.0,-71.083318,42.37128099999988,-71.11943000000002,42.37239899999986,3023.997564753687
2502,2022-10-01 06:57:00,false,110,50000.0,3.0555555555555554,40,package8040,true,1,4.333333333333333,06:53:30,06:57:00,3.5,-71.08259,42.36490999999988,-71.077299,42.366418999999865,506.22071884085983
2507,2022-10-01 06:57:50,false,110,50000.0,3.0555555555555554,40,package4044,true,1,1.6666666666666667,06:41:50,06:57:50,16.0,-71.119949,42.38191999999986,-71.10456900000001,42.36319099999989,2478.933002869967
2509,2022-10-01 06:58:10,false,110,50000.0,3.0555555555555554,40,package66,true,1,0.8333333333333334,06:54:00,06:58:10,4.166666666666667,-71.103734,42.365674999999875,-71.10141899999998,42.36970699999988,558.7011502018825
2512,2022-10-01 06:58:40,false,110,50000.0,3.0555555555555554,40,package8037,true,1,0.8333333333333334,06:45:00,06:58:40,13.666666666666666,-71.07826899999998,42.36611799999987,-71.10168943871713,42.37145868750906,2125.2400696746627
2524,2022-10-01 07:00:40,false,110,50000.0,3.0555555555555554,40,package8043,true,1,4.833333333333333,06:57:00,07:00:40,3.6666666666666665,-71.09047,42.36164899999987,-71.08743,42.360622999999876,550.4997670551901
2545,2022-10-01 07:04:10,false,110,50000.0,3.0555555555555554,40,package72,true,1,2.0,07:00:10,07:04:10,4.0,-71.10085699999999,42.36402499999988,-71.096228,42.36132899999988,635.4025682789517
2551,2022-10-01 07:05:10,false,110,50000.0,3.0555555555555554,40,package8046,true,1,7.333333333333333,07:02:30,07:05:10,2.6666666666666665,-71.11823199999998,42.38838799999988,-71.11829200000003,42.389997999999885,332.58469105948893
2559,2022-10-01 07:06:30,false,110,50000.0,3.0555555555555554,40,package4056,true,1,7.5,07:01:40,07:06:30,4.833333333333333,-71.11823199999998,42.38838799999988,-71.12352517184414,42.391860802365834,750.858652868352
2561,2022-10-01 07:06:50,false,110,50000.0,3.0555555555555554,40,package69,true,1,2.8333333333333335,06:59:00,07:06:50,7.833333333333333,-71.075408,42.37195999999987,-71.081379,42.364368999999876,1040.976547916965
2562,2022-10-01 07:07:00,false,110,50000.0,3.0555555555555554,40,package4071,true,1,1.6666666666666667,07:04:50,07:07:00,2.1666666666666665,-71.111874,42.369724999999875,-71.11053145184587,42.37072942073192,206.2394047088532
2574,2022-10-01 07:09:00,false,110,50000.0,3.0555555555555554,40,package4062,true,1,2.1666666666666665,07:01:20,07:09:00,7.666666666666667,-71.09047,42.36164899999987,-71.09384525746042,42.35731286087455,1003.3899103554137
2575,2022-10-01 07:09:10,false,110,50000.0,3.0555555555555554,40,package4068,true,1,1.6666666666666667,07:04:50,07:09:10,4.333333333333333,-71.117852,42.37248399999987,-71.114152,42.37402899999987,503.34651952126256
2578,2022-10-01 07:09:40,false,110,50000.0,3.0555555555555554,40,package8061,true,1,1.5,07:04:40,07:09:40,5.0,-71.117852,42.37248399999987,-71.123497,42.37852899999989,849.6301761196696
2585,2022-10-01 07:10:50,false,110,50000.0,3.0555555555555554,40,package84,true,1,3.0,07:07:10,07:10:50,3.6666666666666665,-71.09047,42.36164899999987,-71.08743,42.360622999999876,550.4997670551901
2587,2022-10-01 07:11:10,false,110,50000.0,3.0555555555555554,40,package4053,true,1,2.1666666666666665,06:54:20,07:11:10,16.833333333333332,-71.119949,42.38191999999986,-71.08959899999998,42.37237999999988,2723.174189342757
2589,2022-10-01 07:11:30,false,110,50000.0,3.0555555555555554,40,package78,true,1,6.333333333333333,07:07:30,07:11:30,4.0,-71.118227,42.390042999999885,-71.11989319338319,42.38672201408617,510.7076672366188
2589,2022-10-01 07:11:30,false,110,50000.0,3.0555555555555554,40,package8058,true,1,1.8333333333333333,07:05:00,07:11:30,6.5,-71.105366,42.366068999999875,-71.10854491646249,42.36033465613067,817.9927005573422
2591,2022-10-01 07:11:50,false,110,50000.0,3.0555555555555554,40,package8049,true,1,4.333333333333333,07:01:30,07:11:50,10.333333333333334,-71.119949,42.38191999999986,-71.110752,42.369344999999875,1633.5133235867331
2596,2022-10-01 07:12:40,false,110,50000.0,3.0555555555555554,40,package8034,true,1,6.0,06:48:10,07:12:40,24.5,-71.11823199999998,42.38838799999988,-71.082562,42.365951999999865,3932.1197427958423
2597,2022-10-01 07:12:50,false,110,50000.0,3.0555555555555554,40,package8055,true,1,5.666666666666667,07:06:50,07:12:50,6.0,-71.11983000000002,42.38448799999988,-71.1242533263425,42.390835542772585,845.9877869839195
2599,2022-10-01 07:13:10,false,110,50000.0,3.0555555555555554,40,package57,true,1,4.0,06:46:10,07:13:10,27.0,-71.075402,42.37193799999988,-71.09635899999998,42.35876399999987,2482.3496768336418
2601,2022-10-01 07:13:30,false,110,50000.0,3.0555555555555554,40,package75,true,1,3.6666666666666665,07:03:50,07:13:30,9.666666666666666,-71.09388,42.36278199999988,-71.1004414065042,42.365078310153514,653.2349500851653
